0:407193:R	1	407193
1:4535624:R	1	4535624
2:816501:R	1	816501
3:3862464:R	1	3862464
4:1489317:R	1	1489317
5:2776995:R	1	2776995
6:4353899:R	1	4353899
7:1042714:R	1	1042714
8:4209115:R	5	4036591	3942776	4167713	4209115	226808
9:3303294:R	1	3303294
10:3725404:R	1	3725404
11:2876381:R	1	2876381
12:1771358:R	1	1771358
13:4404353:R	1	4404353
14:1050512:R	1	1050512
15:256707:R	1	256707
16:2010199:R	1	2010199
17:3718363:R	1	3718363
18:679680:R	1	679680
19:4530012:R	1	4530012
20:1545712:R	1	1545712
21:3087320:R	1	3087320
22:4552657:R	1	4552657
23:3817761:M	0
24:1229557:R	1	1229557
25:4332282:R	1	4332282
26:3198919:R	1	3198919
27:4102767:R	1	4102767
28:4558609:R	1	4558609
29:3717882:R	1	3717882
30:2361583:R	1	2361583
31:953568:R	1	953568
32:3734186:R	1	3734186
33:3623911:R	1	3623911
34:2819182:R	1	2819182
35:404782:R	1	404782
36:2828342:R	1	2828342
37:864624:M	0
38:3152424:R	1	3152424
39:1867218:R	1	1867218
40:3639080:R	1	3639080
41:3509340:R	1	3509340
42:4397121:R	1	4397121
43:2806627:R	1	2806627
44:4439521:R	1	4439521
45:1490545:R	1	1490545
46:3792323:R	1	3792323
47:3398956:M	0
48:4137745:R	1	4137745
49:4112216:R	1	4112216
50:1004590:M	0
51:2333104:R	1	2333104
52:1912833:R	1	1912833
53:2121688:R	1	2121688
54:760681:R	1	760681
55:2171329:R	1	2171329
56:486197:R	1	486197
57:1395957:R	1	1395957
58:4061512:R	1	4061512
59:2854135:R	1	2854135
60:2803633:R	1	2803633
61:3712219:R	1	3712219
62:310508:R	1	310508
63:3794444:R	1	3794444
64:599339:R	1	599339
65:3808492:R	1	3808492
66:3305031:R	1	3305031
67:3668944:R	1	3668944
68:2067145:R	3	1466114	2994563	2067145
69:3095716:R	1	3095716
70:1656958:R	1	1656958
71:2300240:R	1	2300240
72:3371574:R	1	3371574
73:2953934:R	1	2953934
74:3275433:R	1	3275433
75:2092039:R	1	2092039
76:1987549:R	1	1987549
77:2860914:R	1	2860914
78:2235729:R	1	2235729
79:653765:R	1	653765
80:2043369:R	1	2043369
81:1777193:R	1	1777193
82:1753343:R	1	1753343
83:3538531:R	1	3538531
84:1174940:R	1	1174940
85:3837350:R	1	3837350
86:3037622:R	1	3037622
87:1638341:R	1	1638341
88:3791847:R	1	3791847
89:369389:R	1	369389
90:1644656:R	1	1644656
91:1719729:R	1	1719729
92:4606967:R	1	4606967
93:1024203:R	1	1024203
94:2562269:R	1	2562269
95:2444345:R	1	2444345
96:3365015:R	1	3365015
97:398203:R	1	398203
98:925173:R	1	925173
99:285549:R	1	285549
Query time: 4.38947201 sec